SNR,Power,OSR,Adc1_gm,GBW1,IIP3_Int1,Adc2_gm,GBW2,IIP3_Int2,IIP_FF
72.505,0.00032112,64,53.232,775210000.0,19.873,44.976,763980000.0,26.594,22.222
72.453,0.00032112,64,53.232,775210000.0,25.057,44.976,763980000.0,40.953,33.333
72.818,0.00032112,64,53.232,775210000.0,43.296,44.976,763980000.0,35.497,44.444
72.404,0.00032112,64,53.232,775210000.0,48.447,44.976,763980000.0,68.127,55.556
72.932,0.00032112,64,53.232,775210000.0,55.34,44.976,763980000.0,51.185,66.667
72.481,0.00032112,64,53.232,775210000.0,90.067,44.976,763980000.0,94.457,77.778
72.289,0.00032112,64,53.232,775210000.0,103.29,44.976,763980000.0,79.654,88.889
72.652,0.00032112,64,53.232,775210000.0,88.543,44.976,763980000.0,112.26,100.0
73.867,0.00032112,64,53.232,791380000.0,9.1732,44.976,1035500000.0,11.588,11.111
73.429,0.00032112,64,53.232,791380000.0,19.873,44.976,1035500000.0,26.594,22.222
73.605,0.00032112,64,53.232,791380000.0,25.057,44.976,1035500000.0,40.953,33.333
70.83,0.00032112,64,53.232,791380000.0,43.296,44.976,1035500000.0,35.497,44.444
72.059,0.00032112,64,53.232,791380000.0,48.447,44.976,1035500000.0,68.127,55.556
70.48,0.00032112,64,53.232,791380000.0,55.34,44.976,1035500000.0,51.185,66.667
74.818,0.00032112,64,53.232,791380000.0,103.29,44.976,1035500000.0,79.654,88.889
72.945,0.00032112,64,53.232,791380000.0,88.543,44.976,1035500000.0,112.26,100.0
71.575,0.00032112,64,67.667,832610.0,0.0,54.347,968270.0,0.0,0.0
73.229,0.00032112,64,67.667,832610.0,9.1732,54.347,968270.0,11.588,11.111
71.909,0.00032112,64,67.667,832610.0,19.873,54.347,968270.0,26.594,22.222
72.973,0.00032112,64,67.667,832610.0,25.057,54.347,968270.0,40.953,33.333
71.236,0.00032112,64,67.667,832610.0,43.296,54.347,968270.0,35.497,44.444
71.832,0.00032112,64,67.667,832610.0,48.447,54.347,968270.0,68.127,55.556
72.093,0.00032112,64,67.667,832610.0,55.34,54.347,968270.0,51.185,66.667
71.414,0.00032112,64,67.667,832610.0,90.067,54.347,968270.0,94.457,77.778
72.241,0.00032112,64,67.667,832610.0,103.29,54.347,968270.0,79.654,88.889
71.916,0.00032112,64,67.667,832610.0,88.543,54.347,968270.0,112.26,100.0
71.807,0.00041458,64,67.667,1619400.0,9.1732,54.347,1007700.0,11.588,11.111
71.93,0.00041458,64,67.667,1619400.0,19.873,54.347,1007700.0,26.594,22.222
